fecha_completa;dia;mes;anio
2005,21 de marzo,Día de San José,Lunes;21;3;2005
2005,24 de marzo,Jueves Santo,Jueves;24;3;2005
2005,25 de marzo,Viernes Santo,Viernes;25;3;2005
2005,1 de mayo,Día del trabajo,Domingo;1;5;2005
2005,9 de mayo,Ascención de Jesús,Lunes;9;5;2005
2005,30 de mayo,Corpus Christi,Lunes;30;5;2005
2005,6 de junio,Sagrado Corazón de Jesús,Lunes;6;6;2005
2005,4 de julio,San Pedro y San Pablo,Lunes;4;7;2005
2005,20 de julio,Día de la independencia,Miércoles;20;7;2005
2005,7 de agosto,Batalla de Boyacá,Domingo;7;8;2005
2005,15 de agosto,Asunción de la Virgen,Lunes;15;8;2005
2005,17 de octubre,Día de la raza,Lunes;17;10;2005
2005,7 de noviembre,Todos los Santos,Lunes;7;11;2005
2005,14 de noviembre,Independencia de Cartagena,Lunes;14;11;2005
2005,8 de diciembre,Inmaculada Concepción,Jueves;8;12;2005
2005,25 de diciembre,Navidad,Domingo;25;12;2005
2006,1 de enero,Año Nuevo,Domingo;1;1;2006
2006,9 de enero,Epifanía,Lunes;9;1;2006
2006,20 de marzo,Día de San José,Lunes;20;3;2006
2006,13 de abril,Jueves Santo,Jueves;13;4;2006
2006,14 de abril,Viernes Santo,Viernes;14;4;2006
2006,1 de mayo,Día del trabajo,Lunes;1;5;2006
2006,29 de mayo,Ascención de Jesús,Lunes;29;5;2006
2006,19 de junio,Corpus Christi,Lunes;19;6;2006
2006,26 de junio,Sagrado Corazón de Jesús,Lunes;26;6;2006
2006,3 de julio,San Pedro y San Pablo,Lunes;3;7;2006
2006,20 de julio,Día de la independencia,Jueves;20;7;2006
2006,7 de agosto,Batalla de Boyacá,Lunes;7;8;2006
2006,21 de agosto,Asunción de la Virgen,Lunes;21;8;2006
2006,16 de octubre,Día de la raza,Lunes;16;10;2006
2006,6 de noviembre,Todos los Santos,Lunes;6;11;2006
2006,13 de noviembre,Independencia de Cartagena,Lunes;13;11;2006
2006,8 de diciembre,Inmaculada Concepción,Viernes;8;12;2006
2006,25 de diciembre,Navidad,Lunes;25;12;2006
2007,1 de enero,Año Nuevo,Lunes;1;1;2007
2007,8 de enero,Epifanía,Lunes;8;1;2007
2007,19 de marzo,Día de San José,Lunes;19;3;2007
2007,5 de abril,Jueves Santo,Jueves;5;4;2007
2007,6 de abril,Viernes Santo,Viernes;6;4;2007
2007,1 de mayo,Día del trabajo,Martes;1;5;2007
2007,21 de mayo,Ascención de Jesús,Lunes;21;5;2007
2007,11 de junio,Corpus Christi,Lunes;11;6;2007
2007,18 de junio,Sagrado Corazón de Jesús,Lunes;18;6;2007
2007,2 de julio,San Pedro y San Pablo,Lunes;2;7;2007
2007,20 de julio,Día de la independencia,Viernes;20;7;2007
2007,7 de agosto,Batalla de Boyacá,Martes;7;8;2007
2007,20 de agosto,Asunción de la Virgen,Lunes;20;8;2007
2007,15 de octubre,Día de la raza,Lunes;15;10;2007
2007,5 de noviembre,Todos los Santos,Lunes;5;11;2007
2007,12 de noviembre,Independencia de Cartagena,Lunes;12;11;2007
2007,8 de diciembre,Inmaculada Concepción,Sábado;8;12;2007
2007,25 de diciembre,Navidad,Martes;25;12;2007
2008,1 de enero,Año Nuevo,Martes;1;1;2008
2008,7 de enero,Epifanía,Lunes;7;1;2008
2008,20 de marzo,Jueves Santo,Jueves;20;3;2008
2008,21 de marzo,Viernes Santo,Viernes;21;3;2008
2008,24 de marzo,Día de San José,Lunes;24;3;2008
2008,1 de mayo,Día del trabajo,Jueves;1;5;2008
2008,5 de mayo,Ascención de Jesús,Lunes;5;5;2008
2008,26 de mayo,Corpus Christi,Lunes;26;5;2008
2008,2 de junio,Sagrado Corazón de Jesús,Lunes;2;6;2008
2008,30 de junio,San Pedro y San Pablo,Lunes;30;6;2008
2008,20 de julio,Día de la independencia,Domingo;20;7;2008
2008,7 de agosto,Batalla de Boyacá,Jueves;7;8;2008
2008,18 de agosto,Asunción de la Virgen,Lunes;18;8;2008
2008,13 de octubre,Día de la raza,Lunes;13;10;2008
2008,3 de noviembre,Todos los Santos,Lunes;3;11;2008
2008,17 de noviembre,Independencia de Cartagena,Lunes;17;11;2008
2008,8 de diciembre,Inmaculada Concepción,Lunes;8;12;2008
2008,25 de diciembre,Navidad,Jueves;25;12;2008
2009,1 de enero,Año Nuevo,Jueves;1;1;2009
